; (Japanese, UTF-8)
;-------------------------------------------------------------------------------
; 『MZ-IME日本語入力／テストデータ』片山博文MZ
; "MZ-IME Japanese Input / The Name Dictionary"
; Copyright (C) 2016-2023 Katayama Hirofumi MZ.
; This file is public domain software (PDS).
; ここにあるテキストデータは、文字入力を助けるためのものであり、 テキストに
; 含まれている企業名・商品名・ブランド名などの権利を主張するものではありません。
;-------------------------------------------------------------------------------
; データ行は次のいずれかの形式で記述します：
;
;    (形式1) <変換前>
;    (形式2) <変換前><TAB><変換後>
;    (形式3) <変換前><TAB><変換後><TAB><品詞分類>
;    (形式4) <変換前><TAB><変換後><TAB><品詞分類><TAB><タグ>
;    (形式5) <変換前><TAB><変換後><TAB><品詞分類><TAB><タグ><TAB><備考>
;
; <変換前>には、変換前のひらがなのみ、またはカタカナのみを記します。
; <変換前>にカタカナを指定すると、後でひらがなに変換されます。
; <TAB>は、タブ文字を表します。<品詞分類>には次のいずれかを指定します。
;
;   名詞、い形容詞、な形容詞、連体詞、副詞、接続詞、感動詞、格助詞、接続助詞、
;   副助詞、終助詞、未然助動詞、連用助動詞、終止助動詞、連体助動詞、仮定助動詞、
;   命令助動詞、五段動詞、一段動詞、カ変動詞、サ変動詞、漢語、接頭辞、接尾辞、
;   カンマ、ピリオド、記号類。
;
; <品詞分類>が省略された場合は、<品詞分類>は名詞と見なされます。
;
; <変換後>には、変換後の文字列を指定します。
; <変換後>は省略可能で、省略した場合は、<変換後>は<変換前>と同じと見なされます。
;
; 動詞・い形容詞・な形容詞は、<変換前>と<変換後>に基本形で記述します。
; い形容詞の<変換後>は、「い」で終わらなければなりません。
; な形容詞の<変換後>は、「な」で終わらなければなりません。
;
; <タグ>は追加的な情報を表します。<タグ>は省略可能です。
; <タグ>には次の組み合わせを指定できます。
;
;   [非標準]、[動植物]、[不謹慎]、[数単位]、[数詞]、[駅名]、[人名]、[地名]、
;   [未然形に連結]、[終止形に連結]、[連用形に連結]、[回避策]、
;   [優先+]、[優先++]、[優先-]、[優先--]、[慣用句]。
;-------------------------------------------------------------------------------
おわり	終わり	名詞
そこ
で	で	格助詞
そこで	そこで	接続詞
でる	出る	一段動詞
なし	なし	名詞
なる	なる	五段動詞
に	に	格助詞
になう	担う	五段動詞
は	は	副助詞
はなし	話	名詞
た	た	連用助動詞	[連用形に連結]
ほし	星	名詞
わたし	私	名詞
わたす	渡す	五段動詞
が	が	接続助詞
が	が	接続詞
が	が	格助詞
の	の	格助詞
の	の	終助詞
わた	綿	名詞
わたがし	綿菓子	名詞
みたいな	みたいな	な形容詞
たべる	食べる	一段動詞
ない	ない	終止助動詞	[未然形に連結]
ない	ない	連体助動詞	[未然形に連結]
を	を	格助詞
くださる	下さる	五段動詞
